tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1235,1/5/2015 7:41,1/5/2015 8:02,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,799,Subscriber,1981,2
842,1/5/2015 7:42,1/5/2015 7:56,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1306,Subscriber,1980,1
682,1/5/2015 7:42,1/5/2015 7:53,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1092,Customer,1978,1
284,1/5/2015 7:42,1/5/2015 7:47,115,Porter Square Station,42.387995,-71.119084,140,Danehy Park,42.388966,-71.132788,992,Subscriber,1982,1
1258,1/5/2015 7:42,1/5/2015 8:03,140,Danehy Park,42.388966,-71.132788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,888,Subscriber,1984,1
296,1/5/2015 7:43,1/5/2015 7:48,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,682,Customer,1970,1
249,1/5/2015 7:43,1/5/2015 7:47,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,892,Subscriber,1990,1
330,1/5/2015 7:44,1/5/2015 7:49,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,1108,Subscriber,1986,1
655,1/5/2015 7:44,1/5/2015 7:55,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,645,Customer,1976,2
1014,1/5/2015 7:46,1/5/2015 8:03,115,Porter Square Station,42.387995,-71.119084,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,753,Subscriber,1969,1
590,1/5/2015 7:47,1/5/2015 7:56,145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,754,Subscriber,1962,1
